iter	MultiClassOneVsAll
196	0.5531723843
197	0.5525799576
198	0.5519853844
199	0.5513914929
200	0.5507907122
201	0.5501950078
202	0.5496016959
203	0.5490085391
204	0.5484152684
205	0.5478235027
206	0.547249364
207	0.5466665894
208	0.5460755962
209	0.5454876626
210	0.5449060451
211	0.5443179448
212	0.5437405979
213	0.5431532819
214	0.542574135
215	0.5420061144
216	0.5414277598
217	0.540847403
218	0.5402735502
219	0.5396923172
220	0.5391158383
221	0.5385616137
222	0.5380023256
223	0.5374430702
224	0.5368870355
225	0.5363182967
226	0.5357483151
227	0.5351746035
228	0.5346053067
229	0.5340419223
230	0.5334737339
231	0.5329233017
232	0.5323576569
233	0.5317963336
234	0.5312365401
235	0.5306727631
236	0.5301163302
237	0.529558409
238	0.5290032371
239	0.5284447281
240	0.5278910778
241	0.5273363987
242	0.5267818968
243	0.5262288187
244	0.5256826593
245	0.5251568908
246	0.5246067197
247	0.5240652361
248	0.5235167226
249	0.5229741192
250	0.5224220025
251	0.5218760825
252	0.5213300041
253	0.52078291
254	0.520237814
255	0.5196901675
256	0.519149444
257	0.5186100571
258	0.5180643039
259	0.5175273536
260	0.5169865679
261	0.5164478362
262	0.5159095899
263	0.5153671224
264	0.5148373872
265	0.5143034407
266	0.5137669866
267	0.5132329632
268	0.5126972102
269	0.5121716286
270	0.5116416234
271	0.5111095856
272	0.5105816556
273	0.5100622884
274	0.5095320721
275	0.5090045241
276	0.5084770958
277	0.5079556364
278	0.5074371537
279	0.5069180756
280	0.5063949137
281	0.5058732739
282	0.5053517926
283	0.5048478945
284	0.504328474
285	0.5038097144
286	0.5032889936
287	0.5027819355
288	0.5022690867
289	0.5017542101
290	0.5012456387
291	0.5007378943
292	0.5002302049
293	0.4997180821
294	0.4992134215
295	0.4986984002
296	0.4981915802
297	0.4976894471
298	0.4971863166
299	0.4966811637
300	0.4961780535
301	0.4956820074
302	0.4951783993
303	0.4946819012
304	0.4941773298
305	0.4936774749
306	0.493173264
307	0.4926687766
308	0.4921668454
309	0.4916665806
310	0.4911648654
311	0.4906639917
312	0.4901640391
313	0.4896749498
314	0.4891824212
315	0.4886892498
316	0.4881947634
317	0.487715644
318	0.4872246754
319	0.4867314709
320	0.4862457757
321	0.4857513652
322	0.485261318
323	0.4847719859
324	0.4842858625
325	0.4838094161
326	0.4833287237
327	0.4828411067
328	0.4823542244
329	0.4818718666
330	0.4813858909
331	0.4808989099
332	0.4804148902
333	0.4799336183
334	0.47944966
335	0.4789696276
336	0.4784998885
337	0.4780228869
338	0.477547786
339	0.477069852
340	0.4765936012
341	0.4761242219
342	0.4756486409
343	0.4751727591
344	0.4747008376
345	0.4742316595
346	0.473760334
347	0.4732875604
348	0.4728187628
349	0.4723467505
350	0.4718790821
351	0.4714095619
352	0.470948782
353	0.4704841737
354	0.470012506
355	0.4695535532
356	0.4690849358
357	0.4686170037
358	0.4681645909
359	0.4677049838
360	0.4672457857
361	0.4667900023
362	0.4663287564
363	0.4658707057
364	0.4654084212
365	0.4649491564
366	0.4644893194
367	0.4640374667
368	0.4635848663
369	0.4631343886
370	0.462684487
371	0.4622286709
372	0.4617765088
373	0.4613242608
374	0.4608856146
375	0.4604336862
376	0.459979652
377	0.4595318167
378	0.4590814367
379	0.4586320258
380	0.4581969842
381	0.4577506828
382	0.4573100973
383	0.4568648141
384	0.4564158325
385	0.4559749452
386	0.4555441813
387	0.4550983916
388	0.454655562
389	0.4542114935
390	0.4537756459
391	0.4533320957
392	0.4528907112
393	0.4524476568
394	0.4520109098
395	0.4515728925
396	0.451133428
397	0.4506965025
398	0.450257409
399	0.4498298451
400	0.4493932377
401	0.4489589694
402	0.4485235773
403	0.4480903448
404	0.4476546869
405	0.4472290515
406	0.4468027615
407	0.4463727575
408	0.4459480125
409	0.4455230878
410	0.4450915049
411	0.44467219
412	0.4442482346
413	0.4438201844
414	0.4433925441
415	0.4429774036
416	0.4425609272
417	0.4421368071
418	0.4417082946
419	0.4412821552
420	0.4408589481
421	0.4404361219
422	0.4400143226
423	0.4395911487
424	0.4391725324
425	0.4387626078
426	0.4383393227
427	0.4379253123
428	0.4375146888
429	0.4371040414
430	0.4366946973
431	0.4362852324
432	0.43587088
433	0.4354562454
434	0.4350507367
435	0.4346361323
436	0.4342210685
437	0.4338215372
438	0.4334128841
439	0.4330076537
440	0.4326030769
441	0.4321926216
442	0.4317927128
443	0.4313911062
444	0.4309886855
445	0.4305795122
446	0.430170388
447	0.4297660076
448	0.4293617528
449	0.4289614122
450	0.4285716779
451	0.4281705321
452	0.4277736703
453	0.4273683432
454	0.4269650654
455	0.4265612722
456	0.4261573119
457	0.4257593857
458	0.4253667372
459	0.4249742506
460	0.424571386
461	0.4241754539
462	0.4237824125
463	0.423382149
464	0.422988834
465	0.422592554
466	0.4221988325
467	0.4218083679
468	0.4214249514
469	0.4210359496
470	0.4206438029
471	0.4202502338
472	0.4198552927
473	0.4194675298
474	0.4190764221
475	0.4186849087
476	0.4182947595
477	0.4179022111
478	0.4175199104
479	0.4171351013
480	0.4167543977
481	0.4163680688
482	0.4159876141
483	0.4155964261
484	0.4152209026
485	0.4148430603
486	0.4144645871
487	0.4140860044
488	0.4137072425
489	0.4133313173
490	0.4129481574
491	0.4125668182
492	0.4121875029
493	0.41180601
494	0.4114346469
495	0.4110666544
496	0.4106841283
497	0.4103079618
498	0.4099344404
499	0.4095641084
500	0.4091881514
501	0.4088186244
502	0.4084419422
503	0.4080700806
504	0.4076960793
505	0.4073240636
506	0.4069507146
507	0.4065760741
508	0.4062017197
509	0.4058276264
510	0.4054627164
511	0.4051005173
512	0.4047284559
513	0.4043604858
514	0.403987114
515	0.4036251899
516	0.4032554421
517	0.4028839288
518	0.402523668
519	0.4021557528
520	0.4017915736
521	0.4014267686
522	0.4010595813
523	0.4007033526
524	0.400343109
525	0.3999773521
526	0.3996174558
527	0.3992581706
528	0.3988945523
529	0.3985337102
530	0.3981818404
531	0.3978234269
532	0.3974617831
533	0.3971027086
534	0.3967480841
535	0.3964010922
536	0.3960441598
537	0.3956837734
538	0.3953265754
539	0.394965409
540	0.3946098488
541	0.3942559922
542	0.3938977895
543	0.3935480742
544	0.3931970002
545	0.3928412752
546	0.3924847626
547	0.3921353965
548	0.3917799238
549	0.3914259472
550	0.3910767784
551	0.3907322605
552	0.3903878705
553	0.390040369
554	0.3896907274
555	0.3893381863
556	0.3889875064
557	0.388637988
558	0.3882872788
559	0.3879384651
560	0.3875906121
561	0.3872430447
562	0.3868959991
563	0.3865550577
564	0.3862189334
565	0.3858753042
566	0.3855271394
567	0.3851825823
568	0.3848455866
569	0.3845016844
570	0.3841577599
571	0.3838175574
572	0.3834735431
573	0.3831384945
574	0.3828012006
575	0.3824580219
576	0.3821216014
577	0.3817797302
578	0.3814484982
579	0.3811100029
580	0.3807696854
581	0.3804312987
582	0.3800947239
583	0.3797658515
584	0.3794318769
585	0.3790994186
586	0.3787661711
587	0.3784274457
588	0.3780966807
589	0.3777656171
590	0.3774397041
591	0.3771069571
592	0.3767764754
593	0.3764458385
594	0.3761159066
595	0.3757911517
596	0.3754602413
597	0.3751302267
598	0.3748002681
599	0.3744703278
600	0.3741448227
601	0.3738160693
602	0.3734882829
603	0.3731659283
604	0.3728444532
605	0.3725160254
606	0.3721927591
607	0.3718656291
608	0.3715390516
609	0.3712204973
610	0.3709001982
611	0.3705813112
612	0.3702563867
613	0.3699331691
614	0.3696114379
615	0.369294328
616	0.3689711486
617	0.3686504917
618	0.3683298911
619	0.3680103949
620	0.3676925052
621	0.3673710435
622	0.3670561822
623	0.3667363816
624	0.3664215173
625	0.366100821
626	0.3657844305
627	0.3654712427
628	0.3651522854
629	0.3648338059
630	0.3645195216
631	0.3642076107
632	0.3638980911
633	0.3635862382
634	0.3632766013
635	0.3629597438
636	0.3626502911
637	0.3623378966
638	0.3620283294
639	0.361723197
640	0.361417659
641	0.3611041685
642	0.3607957399
643	0.3604852496
644	0.3601733275
645	0.3598649831
646	0.3595572459
647	0.3592477577
648	0.3589421189
649	0.3586324529
650	0.3583327263
651	0.3580321433
652	0.3577242324
653	0.3574194565
654	0.3571176845
655	0.3568112075
656	0.3565119986
657	0.3562116012
658	0.3559056921
659	0.3556070685
660	0.3553106303
661	0.3550102149
662	0.3547118088
663	0.3544138372
664	0.3541122251
665	0.3538150949
666	0.3535125888
667	0.3532109121
668	0.3529136125
669	0.3526194612
670	0.3523218079
671	0.3520243562
672	0.3517254952
673	0.3514259494
674	0.3511261194
675	0.3508284053
676	0.3505330724
677	0.3502408327
678	0.3499535198
679	0.3496605945
680	0.3493654134
681	0.3490720533
682	0.3487789385
683	0.3484838998
684	0.3481901487
685	0.3478983119
686	0.3476078622
687	0.3473186505
688	0.3470316541
689	0.3467439969
690	0.3464504325
691	0.3461578438
692	0.345869549
693	0.3455822125
694	0.345289491
695	0.3450063208
696	0.3447169721
697	0.3444264038
698	0.344140657
699	0.3438574728
700	0.3435754628
701	0.3432866892
702	0.3429987177
703	0.3427100025
704	0.3424242858
705	0.3421362588
706	0.3418554624
707	0.3415725849
708	0.3412855265
709	0.3409979185
710	0.3407123459
711	0.3404283444
712	0.3401504531
713	0.3398661722
714	0.3395835597
715	0.3393025042
716	0.3390184759
717	0.338737346
718	0.3384543845
719	0.338176762
720	0.3378979411
721	0.3376191073
722	0.3373383895
723	0.3370595581
724	0.3367819625
725	0.3365025108
726	0.3362238896
727	0.3359464906
728	0.3356701552
729	0.3353943989
730	0.3351173403
731	0.334840544
732	0.3345653723
733	0.3342901464
734	0.3340150204
735	0.3337403355
736	0.3334659262
737	0.3331906849
738	0.332917658
739	0.3326410384
740	0.3323685628
741	0.3320993187
742	0.3318298645
743	0.3315552947
744	0.3312836857
745	0.3310114213
746	0.3307474628
747	0.33047793
748	0.3302112087
749	0.3299416013
750	0.3296730647
751	0.3294095717
752	0.3291385536
753	0.3288684079
754	0.3285995051
755	0.3283331873
756	0.3280644123
757	0.3277998564
758	0.3275336738
759	0.3272714603
760	0.3270144917
761	0.3267493611
762	0.3264865048
763	0.3262239614
764	0.3259620964
765	0.3256977361
766	0.3254331741
767	0.3251732302
768	0.3249093489
769	0.3246471957
770	0.3243846343
771	0.3241212338
772	0.3238617027
773	0.3236051541
774	0.323345342
775	0.3230865809
776	0.322825657
777	0.3225638818
778	0.322304066
779	0.3220451015
780	0.3217878476
781	0.3215332137
782	0.3212766965
783	0.3210213682
784	0.3207635152
785	0.3205070802
786	0.3202478524
787	0.3199957311
788	0.3197435779
789	0.3194887819
790	0.3192377902
791	0.3189928057
792	0.3187440856
793	0.3184887517
794	0.3182346317
795	0.3179840124
796	0.3177268403
797	0.3174755539
798	0.317224066
799	0.3169691325
800	0.3167163872
801	0.3164650492
802	0.316215576
803	0.3159684138
804	0.3157169328
805	0.3154655729
806	0.3152137424
807	0.3149624588
808	0.3147144994
809	0.3144706204
810	0.3142218244
811	0.3139753223
812	0.3137281742
813	0.3134770273
814	0.3132297699
815	0.3129820207
816	0.3127326206
817	0.3124867491
818	0.3122365416
819	0.311991297
820	0.3117497973
821	0.3115049194
822	0.3112597543
823	0.3110176688
824	0.3107735027
825	0.3105300489
826	0.3102861292
827	0.3100430018
828	0.3097997104
829	0.3095533856
830	0.309308577
831	0.3090640884
832	0.3088244289
833	0.3085800542
834	0.3083377395
835	0.3080943642
836	0.3078518588
837	0.3076069823
838	0.3073652437
839	0.307127569
840	0.3068895883
841	0.3066503712
842	0.3064083066
843	0.3061688411
844	0.3059292872
845	0.3056955117
846	0.3054641469
847	0.3052248734
848	0.3049907576
849	0.3047526697
850	0.3045142205
851	0.3042755045
852	0.3040378936
853	0.3037989794
854	0.3035642217
855	0.3033268898
856	0.3030884457
857	0.3028516111
858	0.3026200295
859	0.3023872279
860	0.3021552474
861	0.3019194143
862	0.3016839462
863	0.3014504513
864	0.3012167988
865	0.3009836832
866	0.3007545715
867	0.3005212423
868	0.3002883874
869	0.3000565851
870	0.2998236929
871	0.2995927872
872	0.2993596875
873	0.2991251952
874	0.2988971011
875	0.2986718048
876	0.2984452858
877	0.2982132824
878	0.2979854011
879	0.2977570756
880	0.2975263393
881	0.2972960961
882	0.2970684559
883	0.2968450052
884	0.2966151969
885	0.2963853673
886	0.2961596803
887	0.2959325741
888	0.2957107369
889	0.2954849797
890	0.2952610852
891	0.2950348718
892	0.2948119318
893	0.2945857896
894	0.2943601763
895	0.2941373732
896	0.2939186187
897	0.2936945111
898	0.2934711645
899	0.2932473391
900	0.2930206528
901	0.2927974096
902	0.2925728055
903	0.2923504436
904	0.2921300298
905	0.2919076006
906	0.2916873339
907	0.2914670325
908	0.29124564
909	0.2910299748
910	0.290807159
911	0.2905861456
912	0.2903700865
913	0.2901492766
914	0.2899316214
915	0.2897136282
916	0.2894916623
917	0.2892700468
918	0.2890505857
919	0.2888332831
920	0.2886157646
921	0.2884007334
922	0.288181876
923	0.2879619755
924	0.2877451394
925	0.2875292644
926	0.2873113961
927	0.287095386
928	0.2868816032
929	0.2866683019
930	0.2864536383
931	0.2862389105
932	0.2860236545
933	0.2858079206
934	0.2855979968
935	0.2853829581
936	0.2851702523
937	0.2849575566
938	0.284743204
939	0.2845305465
940	0.2843160388
941	0.2841011909
942	0.2838882366
943	0.2836797511
944	0.2834686312
945	0.2832575732
946	0.2830465685
947	0.2828375038
948	0.2826281976
949	0.282418975
950	0.2822074904
951	0.2819983933
952	0.2817894247
953	0.2815788065
954	0.2813704973
955	0.2811610595
956	0.2809511761
957	0.2807415012
958	0.280534594
959	0.2803293739
960	0.2801224049
961	0.2799152849
962	0.2797085983
963	0.2795013259
964	0.2792929742
965	0.279092149
966	0.2788888015
967	0.278683273
968	0.2784769194
969	0.2782763847
970	0.2780724831
971	0.2778703971
972	0.2776646919
973	0.2774591538
974	0.2772550235
975	0.277056085
976	0.2768504337
977	0.2766474977
978	0.2764444948
979	0.2762408905
980	0.276036233
981	0.2758336261
982	0.2756317623
983	0.2754295865
984	0.2752329379
985	0.2750305918
986	0.2748298152
987	0.2746294204
988	0.2744280415
989	0.2742318695
990	0.2740345045
991	0.2738350004
992	0.2736337891
993	0.273433006
994	0.2732367133
995	0.2730357256
996	0.2728355556
997	0.272639168
998	0.2724402701
999	0.2722423562
1000	0.272045341
1001	0.2718494498
1002	0.2716520651
1003	0.2714542778
1004	0.2712568912
1005	0.2710615177
1006	0.2708653461
1007	0.2706666302
1008	0.2704696378
1009	0.2702771741
1010	0.2700808284
1011	0.269883825
1012	0.2696915121
1013	0.2694955723
1014	0.2692997769
1015	0.2691046656
1016	0.2689107035
1017	0.2687167223
1018	0.2685214823
1019	0.2683296073
1020	0.2681375395
1021	0.2679444155
1022	0.2677520374
1023	0.2675585722
1024	0.2673697344
1025	0.2671769042
1026	0.2669869347
1027	0.2667981058
1028	0.2666104546
1029	0.2664174998
1030	0.2662252856
1031	0.2660372683
1032	0.2658507353
1033	0.2656596091
1034	0.265469849
1035	0.2652819396
1036	0.2650917956
1037	0.2649026554
1038	0.2647149886
1039	0.2645273239
1040	0.2643367014
1041	0.2641478372
1042	0.263958662
1043	0.2637710695
1044	0.2635859303
1045	0.2633998385
1046	0.2632114801
1047	0.2630286153
1048	0.2628417618
1049	0.2626556619
1050	0.2624677755
1051	0.2622824494
1052	0.2620948009
1053	0.2619080095
1054	0.2617209073
1055	0.2615347024
1056	0.2613486515
1057	0.2611698459
1058	0.2609841982
1059	0.2607998747
1060	0.2606139354
1061	0.2604277711
1062	0.2602444656
1063	0.2600641715
1064	0.259882159
1065	0.2596989853
1066	0.2595168354
1067	0.2593344526
1068	0.2591515107
1069	0.2589747982
1070	0.2587933423
1071	0.258612216
1072	0.2584309809
1073	0.2582485801
1074	0.2580672832
1075	0.2578850034
1076	0.2577029417
1077	0.2575205361
1078	0.2573402258
1079	0.2571645311
1080	0.2569838475
1081	0.2568066985
1082	0.2566280076
1083	0.2564479132
1084	0.2562678439
1085	0.2560879584
1086	0.2559101444
1087	0.2557306969
1088	0.2555513656
1089	0.255375188
1090	0.2552047554
1091	0.2550269504
1092	0.2548506408
1093	0.2546711772
1094	0.2544921593
1095	0.2543161348
1096	0.2541380858
1097	0.2539626788
1098	0.2537859266
1099	0.2536099651
1100	0.2534338534
1101	0.2532582489
1102	0.2530822726
1103	0.25290561
1104	0.2527312196
1105	0.2525571569
1106	0.2523835102
1107	0.2522086544
1108	0.2520344365
1109	0.2518577554
1110	0.2516839874
1111	0.2515105139
1112	0.2513374139
1113	0.2511641632
1114	0.2509891644
1115	0.2508146495
1116	0.250642245
1117	0.2504710523
1118	0.250299348
1119	0.250127261
1120	0.2499544943
1121	0.2497842115
1122	0.2496145937
1123	0.2494436072
1124	0.2492728152
1125	0.2491015446
1126	0.2489309722
1127	0.2487599484
1128	0.248588709
1129	0.2484183938
1130	0.2482482254
1131	0.2480787137
1132	0.2479092084
1133	0.2477397314
1134	0.2475703989
1135	0.247401745
1136	0.2472364116
1137	0.247068207
1138	0.2468995454
1139	0.2467318114
1140	0.2465624716
1141	0.2463944133
1142	0.2462284802
1143	0.2460619967
1144	0.2458958055
1145	0.2457291836
1146	0.2455644733
1147	0.2453973988
1148	0.2452312559
1149	0.2450651061
1150	0.2449011358
1151	0.2447353715
1152	0.24456872
1153	0.2444029303
1154	0.2442366962
1155	0.2440729591
1156	0.2439124268
1157	0.2437491947
1158	0.2435876059
1159	0.2434234441
1160	0.2432616267
1161	0.2430963259
1162	0.2429346351
1163	0.2427716886
1164	0.2426075461
1165	0.2424438131
1166	0.2422822378
1167	0.2421219228
1168	0.2419610637
1169	0.2418025029
1170	0.2416415875
1171	0.2414808885
1172	0.2413202349
1173	0.241160656
1174	0.2409985658
1175	0.2408376702
1176	0.2406788441
1177	0.2405171442
1178	0.240354361
1179	0.2401950948
1180	0.2400375458
1181	0.2398781942
1182	0.2397179749
1183	0.239560603
1184	0.2393993286
1185	0.239241796
1186	0.2390839912
1187	0.2389277057
1188	0.2387682523
1189	0.2386098154
1190	0.2384510788
1191	0.2382904903
1192	0.2381319521
1193	0.2379716531
1194	0.237815925
1195	0.2376579634
1196	0.2375017924
1197	0.2373448861
1198	0.2371882992
1199	0.2370297225
1200	0.236871907
1201	0.2367141958
1202	0.236556738
1203	0.2363991334
1204	0.2362421694
1205	0.2360902231
1206	0.2359392394
1207	0.2357850913
1208	0.2356306594
1209	0.2354744386
1210	0.2353198206
1211	0.2351666214
1212	0.2350116115
1213	0.2348583949
1214	0.2347061564
1215	0.2345524751
1216	0.2343974359
1217	0.2342431446
1218	0.234088807
1219	0.2339367469
1220	0.2337853601
1221	0.2336326539
1222	0.2334803779
1223	0.233328261
1224	0.2331751882
1225	0.2330222398
1226	0.2328706964
1227	0.2327204278
1228	0.2325686324
1229	0.2324204052
1230	0.2322674569
1231	0.2321146666
1232	0.2319625263
1233	0.2318113549
1234	0.231660807
1235	0.2315105465
1236	0.2313619474
1237	0.2312131921
1238	0.2310638437
1239	0.2309157026
1240	0.2307674585
1241	0.2306214887
1242	0.2304733701
1243	0.2303258219
1244	0.2301771616
1245	0.2300306208
1246	0.229880151
1247	0.2297340009
1248	0.2295862647
1249	0.229438707
1250	0.2292911449
1251	0.2291419308
1252	0.2289925807
1253	0.2288439981
1254	0.2286957576
1255	0.228547628
1256	0.2284018001
1257	0.228253886
1258	0.2281073399
1259	0.2279623439
1260	0.2278179277
1261	0.2276720887
1262	0.2275263867
1263	0.2273804601
1264	0.227236426
1265	0.2270901353
1266	0.2269448852
1267	0.2268022902
1268	0.2266589572
1269	0.2265150933
1270	0.2263722384
1271	0.2262273377
1272	0.226083644
1273	0.2259438186
1274	0.2258022418
1275	0.2256584829
1276	0.2255145694
1277	0.2253699593
1278	0.225229914
1279	0.2250865065
1280	0.2249423327
1281	0.22479941
1282	0.2246565004
1283	0.2245132718
1284	0.2243744582
1285	0.2242317439
1286	0.2240911903
1287	0.2239535856
1288	0.223817314
1289	0.2236767943
1290	0.2235358644
1291	0.2233947773
1292	0.2232536942
1293	0.2231142118
1294	0.2229742414
1295	0.222833865
1296	0.2226957362
1297	0.2225553252
1298	0.2224149537
1299	0.2222737262
1300	0.222135942
1301	0.2219969075
1302	0.221856263
1303	0.2217157075
1304	0.2215784815
1305	0.221439812
1306	0.2213037411
1307	0.2211636509
1308	0.2210251388
1309	0.2208888826
1310	0.2207522758
1311	0.2206140244
1312	0.2204766392
1313	0.2203410932
1314	0.2202030044
1315	0.2200659705
1316	0.2199303233
1317	0.2197932957
1318	0.2196547614
1319	0.2195178918
1320	0.2193814393
1321	0.2192433516
1322	0.21910663
1323	0.218971379
1324	0.2188370581
1325	0.2187029965
1326	0.2185705061
1327	0.2184368378
1328	0.2183031945
1329	0.2181668556
1330	0.2180317383
1331	0.2178957408
1332	0.2177611805
1333	0.2176261775
1334	0.2174900962
1335	0.2173546561
1336	0.2172229145
1337	0.2170873758
1338	0.2169525329
1339	0.2168176922
1340	0.2166846233
1341	0.2165496698
1342	0.2164174777
1343	0.2162853223
1344	0.2161515032
1345	0.2160190173
1346	0.2158876846
1347	0.2157551908
1348	0.2156226517
1349	0.2154961268
1350	0.2153640827
1351	0.215233034
1352	0.2151006542
1353	0.2149690719
1354	0.2148377368
1355	0.2147079196
1356	0.2145801867
1357	0.2144489096
1358	0.2143175952
1359	0.2141855475
1360	0.2140547598
1361	0.2139242528
1362	0.2137924067
1363	0.2136608474
1364	0.2135319084
1365	0.2134019806
1366	0.2132722632
1367	0.2131437016
1368	0.2130186342
1369	0.2128903291
1370	0.212762219
1371	0.2126361052
1372	0.2125103292
1373	0.2123817923
1374	0.212251836
1375	0.2121229812
1376	0.2119970291
1377	0.2118694556
1378	0.2117432875
1379	0.21161433
1380	0.2114874883
1381	0.211359996
1382	0.211233307
1383	0.2111053408
1384	0.2109769226
1385	0.210848481
1386	0.210721947
1387	0.2105948914
1388	0.2104680863
1389	0.2103423611
1390	0.2102148874
1391	0.2100876623
1392	0.2099606119
1393	0.2098331728
1394	0.2097074323
1395	0.2095848716
1396	0.2094586346
1397	0.2093335429
1398	0.209208158
1399	0.2090862699
1400	0.2089603215
1401	0.2088348087
1402	0.208710935
1403	0.2085864525
1404	0.208464946
1405	0.2083405993
1406	0.2082175603
1407	0.2080929615
1408	0.2079708897
1409	0.2078467177
1410	0.2077276778
1411	0.2076022239
1412	0.2074771231
1413	0.2073543582
1414	0.2072316586
1415	0.2071087865
1416	0.2069877774
1417	0.2068668845
1418	0.2067460869
1419	0.2066234316
1420	0.2065018886
1421	0.2063796689
1422	0.2062571577
1423	0.2061351945
1424	0.2060147865
1425	0.2058946746
1426	0.2057732802
1427	0.205651213
1428	0.2055299388
1429	0.2054071796
1430	0.2052849514
1431	0.2051648938
1432	0.2050429106
1433	0.2049216463
1434	0.2048041098
1435	0.2046842688
1436	0.2045650452
1437	0.2044457693
1438	0.2043255903
1439	0.2042081024
1440	0.2040876655
1441	0.2039669151
1442	0.2038497392
1443	0.2037305004
1444	0.2036121503
1445	0.2034934061
1446	0.2033732691
1447	0.2032536099
1448	0.2031363588
1449	0.2030163049
1450	0.2029000221
1451	0.2027817198
1452	0.2026627981
1453	0.2025440645
1454	0.2024272046
1455	0.202309618
1456	0.2021906085
1457	0.2020757502
1458	0.2019583423
1459	0.2018433302
1460	0.2017255881
1461	0.2016098505
1462	0.2014935657
1463	0.2013757579
1464	0.2012582478
1465	0.2011420035
1466	0.2010260472
1467	0.2009093322
1468	0.2007917647
1469	0.2006756578
1470	0.2005611762
1471	0.2004443575
1472	0.2003292817
1473	0.2002152224
1474	0.200100728
1475	0.1999868288
1476	0.1998734103
1477	0.1997578399
1478	0.1996442128
1479	0.1995301675
1480	0.1994153521
1481	0.1993009822
1482	0.1991866341
1483	0.199074876
1484	0.1989618313
1485	0.1988459518
1486	0.1987325597
1487	0.1986194768
1488	0.1985068486
1489	0.1983941063
1490	0.1982810106
1491	0.1981706147
1492	0.198056946
1493	0.1979447113
1494	0.1978297936
1495	0.1977176308
1496	0.197607076
1497	0.1974966722
1498	0.197386175
1499	0.1972732714
1500	0.1971611566
1501	0.197049301
1502	0.1969377073
1503	0.1968288271
1504	0.1967194641
1505	0.1966123775
1506	0.1964995995
1507	0.19639256
1508	0.1962799767
1509	0.196169913
1510	0.196060759
1511	0.1959512924
